Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10
Distanz zwischen Rad10 und Pferd06_mir => 706.2308662312645
Distanz zwischen Rad10 und Pferd06_rot => 655.9930168626098
Distanz zwischen Rad10 und Pferd07 => 906.4389294942537
Distanz zwischen Rad10 und Pferd07_bw => 953.8856609019437
Distanz zwischen Rad10 und Pferd07_mir => 904.5882494901371
Distanz zwischen Rad10 und Pferd07_rot => 900.5848809348447
Distanz zwischen Rad10 und Pferd08 => 1040.4675232738402
Distanz zwischen Rad10 und Pferd08_bw => 1260.3842248318474
Distanz zwischen Rad10 und Pferd08_mir => 1029.5821359268152
Distanz zwischen Rad10 und Pferd08_rot => 976.8456308454194
Distanz zwischen Rad10 und Pferd09 => 278.98792778393897
Distanz zwischen Rad10 und Pferd09_bw => 279.3624225364202
Distanz zwischen Rad10 und Pferd09_mir => 673.5946075362052
Distanz zwischen Rad10 und Pferd09_rot => 308.6818097722772
Distanz zwischen Rad10 und Pferd10 => 215.38726049577824
Distanz zwischen Rad10 und Pferd10_bw => 314.32366081227366
Distanz zwischen Rad10 und Pferd10_mir => 214.45014901603568
Distanz zwischen Rad10 und Pferd10_rot => 598.5348961327006
Distanz zwischen Rad10 und Rad01 => 487.5561686350874
Distanz zwischen Rad10 und Rad01_bw => 668.9685104143307
Distanz zwischen Rad10 und Rad01_mir => 487.61379737707955
Distanz zwischen Rad10 und Rad01_rot => 1219.6085418181476
Distanz zwischen Rad10 und Rad03 => 496.38667455852226
Distanz zwischen Rad10 und Rad03_bw => 496.1835145719919
Distanz zwischen Rad10 und Rad03_mir => 496.3922543696828
Distanz zwischen Rad10 und Rad03_rot => 449.20162163914057
Distanz zwischen Rad10 und Rad04 => 169.52132906520106
Distanz zwischen Rad10 und Rad04_bw => 68.77591463990059
Distanz zwischen Rad10 und Rad04_mir => 169.67930414449174
Distanz zwischen Rad10 und Rad04_rot => 26.07259769343272
Distanz zwischen Rad10 und Rad05 => 272.9280517886635
