Zeitstempel: 2020-09-23T11:14:41.018  ///  Zu vergleichendes Bild: Landschaft07
Distanz zwischen Landschaft07 und Mensch07_bw => 86017.654784
Distanz zwischen Landschaft07 und Mensch07_mir => 86269.493248
Distanz zwischen Landschaft07 und Mensch07_rot => 76479.09888
Distanz zwischen Landschaft07 und Mensch08 => 59584.565248
Distanz zwischen Landschaft07 und Mensch08_bw => 59584.565248
Distanz zwischen Landschaft07 und Mensch08_mir => 58881.39264
Distanz zwischen Landschaft07 und Mensch08_rot => 49279.01695999999
Distanz zwischen Landschaft07 und Mensch09 => 109186.99008
Distanz zwischen Landschaft07 und Mensch09_bw => 109889.077248
Distanz zwischen Landschaft07 und Mensch09_mir => 108865.48275200001
Distanz zwischen Landschaft07 und Mensch09_rot => 90686.91456
Distanz zwischen Landschaft07 und Mensch10 => 80384.016384
Distanz zwischen Landschaft07 und Mensch10_bw => 80321.78176
Distanz zwischen Landschaft07 und Mensch10_mir => 79297.31072000001
Distanz zwischen Landschaft07 und Mensch10_rot => 66367.614976
Distanz zwischen Landschaft07 und Pferd01 => 89858.588672
Distanz zwischen Landschaft07 und Pferd01_bw => 91646.640128
Distanz zwischen Landschaft07 und Pferd01_mir => 90046.902272
Distanz zwischen Landschaft07 und Pferd01_rot => 68736.106496
Distanz zwischen Landschaft07 und Pferd02 => 119743.172608
Distanz zwischen Landschaft07 und Pferd02_bw => 120128.356352
Distanz zwischen Landschaft07 und Pferd02_mir => 118913.769472
Distanz zwischen Landschaft07 und Pferd02_rot => 104577.810432
Distanz zwischen Landschaft07 und Pferd03 => 67393.150976
Distanz zwischen Landschaft07 und Pferd03_bw => 68673.716224
Distanz zwischen Landschaft07 und Pferd03_mir => 67330.097152
Distanz zwischen Landschaft07 und Pferd03_rot => 58689.798144
Distanz zwischen Landschaft07 und Pferd04 => 70273.114112
Distanz zwischen Landschaft07 und Pferd04_bw => 72190.509056
Distanz zwischen Landschaft07 und Pferd04_mir => 70334.73024
Distanz zwischen Landschaft07 und Pferd04_rot => 64192.1024
Distanz zwischen Landschaft07 und Pferd05 => 75200.8192
Distanz zwischen Landschaft07 und Pferd05_bw => 76415.418368
Distanz zwischen Landschaft07 und Pferd05_mir => 75393.18784
Distanz zwischen Landschaft07 und Pferd05_rot => 62977.654784
Distanz zwischen Landschaft07 und Pferd06 => 137602.8672
Distanz zwischen Landschaft07 und Pferd06_bw => 136320.32768
Distanz zwischen Landschaft07 und Pferd06_mir => 136193.654784
Distanz zwischen Landschaft07 und Pferd06_rot => 107711.197184
Distanz zwischen Landschaft07 und Pferd07 => 133500.321792
Distanz zwischen Landschaft07 und Pferd07_bw => 131458.482176
Distanz zwischen Landschaft07 und Pferd07_mir => 133309.25568
Distanz zwischen Landschaft07 und Pferd07_rot => 90880.32768
Distanz zwischen Landschaft07 und Pferd08 => 89281.18784
Distanz zwischen Landschaft07 und Pferd08_bw => 90557.89056
Distanz zwischen Landschaft07 und Pferd08_mir => 89216.311296
Distanz zwischen Landschaft07 und Pferd08_rot => 70721.8432
Distanz zwischen Landschaft07 und Pferd09 => 78848.278528
Distanz zwischen Landschaft07 und Pferd09_bw => 79552.684032
Distanz zwischen Landschaft07 und Pferd09_mir => 78911.049728
Distanz zwischen Landschaft07 und Pferd09_rot => 73214.11584
Distanz zwischen Landschaft07 und Pferd10 => 84864.032768
Distanz zwischen Landschaft07 und Pferd10_bw => 84930.097152
Distanz zwischen Landschaft07 und Pferd10_mir => 84737.277952
Distanz zwischen Landschaft07 und Pferd10_rot => 77182.902272
Distanz zwischen Landschaft07 und Rad01 => 267455.418368
Distanz zwischen Landschaft07 und Rad01_bw => 267012.866048
Distanz zwischen Landschaft07 und Rad01_mir => 267455.418368
Distanz zwischen Landschaft07 und Rad01_rot => 243648.8192
Distanz zwischen Landschaft07 und Rad03 => 231300.612096
Distanz zwischen Landschaft07 und Rad03_bw => 229178.630144
Distanz zwischen Landschaft07 und Rad03_mir => 231300.612096
Distanz zwischen Landschaft07 und Rad03_rot => 208966.12352
Distanz zwischen Landschaft07 und Rad04 => 224570.826752
Distanz zwischen Landschaft07 und Rad04_bw => 223430.9632
Distanz zwischen Landschaft07 und Rad04_mir => 224570.826752
Distanz zwischen Landschaft07 und Rad04_rot => 203522.29376
Distanz zwischen Landschaft07 und Rad05 => 250618.69158400001
Distanz zwischen Landschaft07 und Rad06 => 285052.96895999997
Distanz zwischen Landschaft07 und Rad07 => 240903.503872
Distanz zwischen Landschaft07 und Rad07_bw => 240644.66944
Distanz zwischen Landschaft07 und Rad07_mir => 240903.503872
Distanz zwischen Landschaft07 und Rad07_rot => 222137.962496
