Zeitstempel: 2020-09-23T01:01:52.116  ///  Zu vergleichendes Bild: Schaf03
Distanz zwischen Schaf03 und Mensch08 => 80704.086016
Distanz zwischen Schaf03 und Mensch08_bw => 80704.086016
Distanz zwischen Schaf03 und Mensch08_mir => 80705.6384
Distanz zwischen Schaf03 und Mensch08_rot => 80703.799296
Distanz zwischen Schaf03 und Mensch09 => 109181.825024
Distanz zwischen Schaf03 und Mensch09_bw => 109885.7472
Distanz zwischen Schaf03 und Mensch09_mir => 108862.189568
Distanz zwischen Schaf03 und Mensch09_rot => 90689.06496
Distanz zwischen Schaf03 und Mensch10 => 80703.766528
Distanz zwischen Schaf03 und Mensch10_bw => 80705.785856
Distanz zwischen Schaf03 und Mensch10_mir => 80701.939712
Distanz zwischen Schaf03 und Mensch10_rot => 80701.804544
Distanz zwischen Schaf03 und Pferd01 => 89858.502656
Distanz zwischen Schaf03 und Pferd01_bw => 91647.029248
Distanz zwischen Schaf03 und Pferd01_mir => 90050.060288
Distanz zwischen Schaf03 und Pferd01_rot => 80704.565248
Distanz zwischen Schaf03 und Pferd02 => 119745.540096
Distanz zwischen Schaf03 und Pferd02_bw => 120126.951424
Distanz zwischen Schaf03 und Pferd02_mir => 118908.342272
Distanz zwischen Schaf03 und Pferd02_rot => 104574.554112
Distanz zwischen Schaf03 und Pferd03 => 80705.650688
Distanz zwischen Schaf03 und Pferd03_bw => 80701.41952
Distanz zwischen Schaf03 und Pferd03_mir => 80702.50496
Distanz zwischen Schaf03 und Pferd03_rot => 80706.531328
Distanz zwischen Schaf03 und Pferd04 => 80702.58688
Distanz zwischen Schaf03 und Pferd04_bw => 80703.987712
Distanz zwischen Schaf03 und Pferd04_mir => 80705.732608
Distanz zwischen Schaf03 und Pferd04_rot => 80703.31596800001
Distanz zwischen Schaf03 und Pferd05 => 80702.050304
Distanz zwischen Schaf03 und Pferd05_bw => 80705.00352
Distanz zwischen Schaf03 und Pferd05_mir => 80706.322432
Distanz zwischen Schaf03 und Pferd05_rot => 80705.527808
Distanz zwischen Schaf03 und Pferd06 => 137597.84960000002
Distanz zwischen Schaf03 und Pferd06_bw => 136317.44
Distanz zwischen Schaf03 und Pferd06_mir => 136192.110592
Distanz zwischen Schaf03 und Pferd06_rot => 107711.000576
Distanz zwischen Schaf03 und Pferd07 => 133500.49792
Distanz zwischen Schaf03 und Pferd07_bw => 131459.67411199998
Distanz zwischen Schaf03 und Pferd07_mir => 133311.885312
Distanz zwischen Schaf03 und Pferd07_rot => 90877.44
Distanz zwischen Schaf03 und Pferd08 => 89279.40608
Distanz zwischen Schaf03 und Pferd08_bw => 90557.27616
Distanz zwischen Schaf03 und Pferd08_mir => 89214.652416
Distanz zwischen Schaf03 und Pferd08_rot => 80703.946752
Distanz zwischen Schaf03 und Pferd09 => 80705.744896
Distanz zwischen Schaf03 und Pferd09_bw => 80704.192512
Distanz zwischen Schaf03 und Pferd09_mir => 80703.725568
Distanz zwischen Schaf03 und Pferd09_rot => 80702.6688
Distanz zwischen Schaf03 und Pferd10 => 84863.627264
Distanz zwischen Schaf03 und Pferd10_bw => 84928.700416
Distanz zwischen Schaf03 und Pferd10_mir => 84738.633728
Distanz zwischen Schaf03 und Pferd10_rot => 80701.431808
Distanz zwischen Schaf03 und Rad01 => 267459.52256
Distanz zwischen Schaf03 und Rad01_bw => 267013.042176
Distanz zwischen Schaf03 und Rad01_mir => 267459.52256
Distanz zwischen Schaf03 und Rad01_rot => 243640.2176
Distanz zwischen Schaf03 und Rad03 => 231297.650688
Distanz zwischen Schaf03 und Rad03_bw => 229182.10355200002
Distanz zwischen Schaf03 und Rad03_mir => 231297.650688
Distanz zwischen Schaf03 und Rad03_rot => 208964.71039999998
Distanz zwischen Schaf03 und Rad04 => 224575.63136
Distanz zwischen Schaf03 und Rad04_bw => 223424.323584
Distanz zwischen Schaf03 und Rad04_mir => 224575.63136
Distanz zwischen Schaf03 und Rad04_rot => 203520.63488
Distanz zwischen Schaf03 und Rad05 => 250616.918016
Distanz zwischen Schaf03 und Rad06 => 285061.615616
Distanz zwischen Schaf03 und Rad07 => 240901.79584
Distanz zwischen Schaf03 und Rad07_bw => 240637.03040000002
Distanz zwischen Schaf03 und Rad07_mir => 240901.79584
Distanz zwischen Schaf03 und Rad07_rot => 222136.918016
Distanz zwischen Schaf03 und Rad08 => 244288.93798400002
Distanz zwischen Schaf03 und Rad08_bw => 245567.46752
Distanz zwischen Schaf03 und Rad08_mir => 244288.93798400002
Distanz zwischen Schaf03 und Rad08_rot => 226374.152192
Distanz zwischen Schaf03 und Rad09 => 232066.28966399998
Distanz zwischen Schaf03 und Rad09_bw => 229883.88352000003
Distanz zwischen Schaf03 und Rad09_mir => 232066.28966399998
Distanz zwischen Schaf03 und Rad09_rot => 214210.719744
Distanz zwischen Schaf03 und Rad10 => 132795.90399999998
Distanz zwischen Schaf03 und Rad10_bw => 130750.226432
Distanz zwischen Schaf03 und Rad10_mir => 132545.511424
Distanz zwischen Schaf03 und Rad10_rot => 121216.643072
Distanz zwischen Schaf03 und Schaf01 => 155709.169664
Distanz zwischen Schaf03 und Schaf01_bw => 154621.35808
Distanz zwischen Schaf03 und Schaf01_mir => 156092.383232
Distanz zwischen Schaf03 und Schaf01_rot => 134013.21881599998
Distanz zwischen Schaf03 und Schaf02 => 99456.167936
Distanz zwischen Schaf03 und Schaf03 => 0.0
Distanz zwischen Schaf03 und Schaf03_bw => 80702.599168
Distanz zwischen Schaf03 und Schaf03_mir => 80704.0
Distanz zwischen Schaf03 und Schaf03_rot => 80706.363392
Distanz zwischen Schaf03 und Schaf04 => 80702.394368
Distanz zwischen Schaf03 und Schaf04_bw => 80705.032192
Distanz zwischen Schaf03 und Schaf04_mir => 80702.394368
Distanz zwischen Schaf03 und Schaf04_rot => 80705.691648
Distanz zwischen Schaf03 und Schaf06 => 96637.35808
Distanz zwischen Schaf03 und Schaf06_bw => 93953.519616
Distanz zwischen Schaf03 und Schaf06_mir => 96637.35808
Distanz zwischen Schaf03 und Schaf06_rot => 93438.2592
Distanz zwischen Schaf03 und Schaf07 => 101697.9456
Distanz zwischen Schaf03 und Schaf07_bw => 99456.167936
