Zeitstempel: 2020-09-23T08:21:13.828  ///  Zu vergleichendes Bild: Auto03
Distanz zwischen Auto03 und Pferd07 => 133503.819776
Distanz zwischen Auto03 und Pferd07_bw => 131454.62374399998
Distanz zwischen Auto03 und Pferd07_mir => 133314.134016
Distanz zwischen Auto03 und Pferd07_rot => 93313.409024
Distanz zwischen Auto03 und Pferd08 => 93312.9216
Distanz zwischen Auto03 und Pferd08_bw => 93310.922752
Distanz zwischen Auto03 und Pferd08_mir => 93311.229952
Distanz zwischen Auto03 und Pferd08_rot => 93312.045056
Distanz zwischen Auto03 und Pferd09 => 93311.893504
Distanz zwischen Auto03 und Pferd09_bw => 93312.585728
Distanz zwischen Auto03 und Pferd09_mir => 93313.585152
Distanz zwischen Auto03 und Pferd09_rot => 93312.32768
Distanz zwischen Auto03 und Pferd10 => 93309.66528
Distanz zwischen Auto03 und Pferd10_bw => 93311.356928
Distanz zwischen Auto03 und Pferd10_mir => 93312.253952
Distanz zwischen Auto03 und Pferd10_rot => 93309.714432
Distanz zwischen Auto03 und Rad01 => 267449.769984
Distanz zwischen Auto03 und Rad01_bw => 267016.364032
Distanz zwischen Auto03 und Rad01_mir => 267449.769984
Distanz zwischen Auto03 und Rad01_rot => 243647.336448
Distanz zwischen Auto03 und Rad03 => 231301.758976
Distanz zwischen Auto03 und Rad03_bw => 229188.39091199997
Distanz zwischen Auto03 und Rad03_mir => 231301.758976
Distanz zwischen Auto03 und Rad03_rot => 208954.49088
Distanz zwischen Auto03 und Rad04 => 224572.633088
Distanz zwischen Auto03 und Rad04_bw => 223428.161536
Distanz zwischen Auto03 und Rad04_mir => 224572.633088
Distanz zwischen Auto03 und Rad04_rot => 203521.10592
Distanz zwischen Auto03 und Rad05 => 250616.30771199998
Distanz zwischen Auto03 und Rad06 => 285059.93215999997
Distanz zwischen Auto03 und Rad07 => 240889.765888
Distanz zwischen Auto03 und Rad07_bw => 240642.41664
Distanz zwischen Auto03 und Rad07_mir => 240889.765888
Distanz zwischen Auto03 und Rad07_rot => 222139.58860800002
Distanz zwischen Auto03 und Rad08 => 244282.29017599998
Distanz zwischen Auto03 und Rad08_bw => 245563.98182400002
Distanz zwischen Auto03 und Rad08_mir => 244282.29017599998
Distanz zwischen Auto03 und Rad08_rot => 226370.32243200002
Distanz zwischen Auto03 und Rad09 => 232067.71916799998
Distanz zwischen Auto03 und Rad09_bw => 229884.780544
Distanz zwischen Auto03 und Rad09_mir => 232067.71916799998
Distanz zwischen Auto03 und Rad09_rot => 214201.577472
Distanz zwischen Auto03 und Rad10 => 132800.7168
