Zeitstempel: 2020-09-22T22:39:51.847  ///  Zu vergleichendes Bild: Mensch10
Distanz zwischen Mensch10 und Mensch10_rot => 80386.174976
Distanz zwischen Mensch10 und Pferd01 => 89856.458752
Distanz zwischen Mensch10 und Pferd01_bw => 91650.29376
Distanz zwischen Mensch10 und Pferd01_mir => 90047.328256
Distanz zwischen Mensch10 und Pferd01_rot => 80384.679936
Distanz zwischen Mensch10 und Pferd02 => 119743.668224
Distanz zwischen Mensch10 und Pferd02_bw => 120131.735552
Distanz zwischen Mensch10 und Pferd02_mir => 118908.706816
Distanz zwischen Mensch10 und Pferd02_rot => 104573.29664
Distanz zwischen Mensch10 und Pferd03 => 80385.9456
Distanz zwischen Mensch10 und Pferd03_bw => 80381.800448
Distanz zwischen Mensch10 und Pferd03_mir => 80383.066112
Distanz zwischen Mensch10 und Pferd03_rot => 80385.323008
Distanz zwischen Mensch10 und Pferd04 => 80381.763584
Distanz zwischen Mensch10 und Pferd04_bw => 80385.835008
Distanz zwischen Mensch10 und Pferd04_mir => 80384.643072
Distanz zwischen Mensch10 und Pferd04_rot => 80386.019328
Distanz zwischen Mensch10 und Pferd05 => 80382.267392
Distanz zwischen Mensch10 und Pferd05_bw => 80385.531904
Distanz zwischen Mensch10 und Pferd05_mir => 80385.76128
Distanz zwischen Mensch10 und Pferd05_rot => 80382.754816
Distanz zwischen Mensch10 und Pferd06 => 137600.8192
Distanz zwischen Mensch10 und Pferd06_bw => 136323.35872000002
Distanz zwischen Mensch10 und Pferd06_mir => 136189.607936
Distanz zwischen Mensch10 und Pferd06_rot => 107713.896448
Distanz zwischen Mensch10 und Pferd07 => 133504.36044800002
Distanz zwischen Mensch10 und Pferd07_bw => 131459.97311999998
Distanz zwischen Mensch10 und Pferd07_mir => 133316.20249599998
Distanz zwischen Mensch10 und Pferd07_rot => 90877.5424
Distanz zwischen Mensch10 und Pferd08 => 89279.42656
Distanz zwischen Mensch10 und Pferd08_bw => 90558.50496
Distanz zwischen Mensch10 und Pferd08_mir => 89214.902272
Distanz zwischen Mensch10 und Pferd08_rot => 80386.486272
Distanz zwischen Mensch10 und Pferd09 => 80381.771776
Distanz zwischen Mensch10 und Pferd09_bw => 80382.578688
Distanz zwischen Mensch10 und Pferd09_mir => 80384.651264
Distanz zwischen Mensch10 und Pferd09_rot => 80385.605632
Distanz zwischen Mensch10 und Pferd10 => 84863.1808
Distanz zwischen Mensch10 und Pferd10_bw => 84928.012288
Distanz zwischen Mensch10 und Pferd10_mir => 84738.670592
Distanz zwischen Mensch10 und Pferd10_rot => 80384.073728
Distanz zwischen Mensch10 und Rad01 => 267454.296064
Distanz zwischen Mensch10 und Rad01_bw => 267008.360448
Distanz zwischen Mensch10 und Rad01_mir => 267454.296064
Distanz zwischen Mensch10 und Rad01_rot => 243648.34816
Distanz zwischen Mensch10 und Rad03 => 231291.98592
Distanz zwischen Mensch10 und Rad03_bw => 229179.41248
Distanz zwischen Mensch10 und Rad03_mir => 231291.98592
Distanz zwischen Mensch10 und Rad03_rot => 208963.74784
Distanz zwischen Mensch10 und Rad04 => 224579.42835200002
Distanz zwischen Mensch10 und Rad04_bw => 223429.742592
Distanz zwischen Mensch10 und Rad04_mir => 224579.42835200002
Distanz zwischen Mensch10 und Rad04_rot => 203515.00288
Distanz zwischen Mensch10 und Rad05 => 250616.119296
Distanz zwischen Mensch10 und Rad06 => 285053.231104
Distanz zwischen Mensch10 und Rad07 => 240898.031616
Distanz zwischen Mensch10 und Rad07_bw => 240633.61024
Distanz zwischen Mensch10 und Rad07_mir => 240898.031616
Distanz zwischen Mensch10 und Rad07_rot => 222144.139264
Distanz zwischen Mensch10 und Rad08 => 244280.61491200002
Distanz zwischen Mensch10 und Rad08_bw => 245573.14048
Distanz zwischen Mensch10 und Rad08_mir => 244280.61491200002
Distanz zwischen Mensch10 und Rad08_rot => 226360.93849600002
Distanz zwischen Mensch10 und Rad09 => 232059.54355200002
Distanz zwischen Mensch10 und Rad09_bw => 229894.914048
