Zeitstempel: 2020-09-05T17:52:55.968  ///  Zu vergleichendes Bild: Schaf03
Distanz zwischen Schaf03 und Schaf07 => 6.512009757668768
Distanz zwischen Schaf03 und Schaf07_bw => 43.00090229458214
Distanz zwischen Schaf03 und Schaf07_mir => 6.228087346133561
Distanz zwischen Schaf03 und Schaf07_rot => 81.62931602452572
Distanz zwischen Schaf03 und Schaf10 => 447.03893129258705
Distanz zwischen Schaf03 und Schaf10_bw => 695.8279679840108
Distanz zwischen Schaf03 und Schaf10_mir => 447.29230565267704
Distanz zwischen Schaf03 und Schaf10_rot => 686.7334761155237
___________________________________________________________________________________


Execution Time: 709 s
Score (Image): 7

Score (Schwarz-wei�): 0
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 599
Berechnungszeit Cluster: 1290
Berechnungszeit Distanz: 7657
Gesamt:  9546 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 383
Berechnungszeit Cluster: 1618
Berechnungszeit Distanz: 13896
Gesamt:  15897 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 471
Berechnungszeit Cluster: 1225
Berechnungszeit Distanz: 31096
Gesamt:  32792 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 388
Berechnungszeit Cluster: 1185
Berechnungszeit Distanz: 21735
Gesamt:  23308 ms

Für Auto02.png: 
Berechnungszeit KPs: 511
Berechnungszeit Cluster: 949
Berechnungszeit Distanz: 11760
Gesamt:  13220 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 318
Berechnungszeit Cluster: 1028
Berechnungszeit Distanz: 13617
Gesamt:  14963 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 307
Berechnungszeit Cluster: 953
Berechnungszeit Distanz: 17348
Gesamt:  18608 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 377
Berechnungszeit Cluster: 740
Berechnungszeit Distanz: 13133
Gesamt:  14250 ms

Für Auto03.png: 
Berechnungszeit KPs: 273
Berechnungszeit Cluster: 419
Berechnungszeit Distanz: 32288
Gesamt:  32980 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 210
Berechnungszeit Cluster: 290
Berechnungszeit Distanz: 45453
Gesamt:  45953 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 210
Berechnungszeit Cluster: 293
Berechnungszeit Distanz: 32245
Gesamt:  32748 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 192
Berechnungszeit Cluster: 247
Berechnungszeit Distanz: 34841
Gesamt:  35280 ms

Für Auto04.png: 
Berechnungszeit KPs: 235
Berechnungszeit Cluster: 462
Berechnungszeit Distanz: 24389
Gesamt:  25086 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 242
Berechnungszeit Cluster: 598
Berechnungszeit Distanz: 32655
Gesamt:  33495 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 237
Berechnungszeit Cluster: 454
Berechnungszeit Distanz: 32258
Gesamt:  32949 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 369
Berechnungszeit Distanz: 35120
Gesamt:  35719 ms

Für Auto05.png: 
Berechnungszeit KPs: 295
Berechnungszeit Cluster: 1343
Berechnungszeit Distanz: 25827
Gesamt:  27465 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 303
Berechnungszeit Cluster: 1101
Berechnungszeit Distanz: 37028
Gesamt:  38432 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 297
Berechnungszeit Cluster: 1581
Berechnungszeit Distanz: 32713
Gesamt:  34591 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 296
Berechnungszeit Cluster: 784
Berechnungszeit Distanz: 30735
Gesamt:  31815 ms

Für Auto06.png: 
Berechnungszeit KPs: 289
Berechnungszeit Cluster: 1308
Berechnungszeit Distanz: 19538
Gesamt:  21135 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 287
Berechnungszeit Cluster: 988
Berechnungszeit Distanz: 21130
Gesamt:  22405 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 1080
Berechnungszeit Distanz: 18531
Gesamt:  19901 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 284
Berechnungszeit Cluster: 814
Berechnungszeit Distanz: 14283
Gesamt:  15381 ms

Für Auto07.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 699
Berechnungszeit Distanz: 54574
Gesamt:  55554 ms

Für Auto08.png: 
Berechnungszeit KPs: 256
Berechnungszeit Cluster: 553
Berechnungszeit Distanz: 27015
Gesamt:  27824 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 246
Berechnungszeit Cluster: 575
Berechnungszeit Distanz: 24465
Gesamt:  25286 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 406
Berechnungszeit Cluster: 543
Berechnungszeit Distanz: 29161
Gesamt:  30110 ms

Für Auto08_rot.png: 
Berechnungszeit KPs: 519
Berechnungszeit Cluster: 436
Berechnungszeit Distanz: 26639
Gesamt:  27594 ms

Für Auto09.png: 
Berechnungszeit KPs: 515
Berechnungszeit Cluster: 815
Berechnungszeit Distanz: 39798
Gesamt:  41128 ms

Für Auto09_bw.png: 
Berechnungszeit KPs: 563
Berechnungszeit Cluster: 551
Berechnungszeit Distanz: 56661
Gesamt:  57775 ms

Für Auto09_mir.png: 
Berechnungszeit KPs: 394
Berechnungszeit Cluster: 543
Berechnungszeit Distanz: 40266
Gesamt:  41203 ms

Für Auto09_rot.png: 
Berechnungszeit KPs: 295
Berechnungszeit Cluster: 447
Berechnungszeit Distanz: 23188
Gesamt:  23930 ms

Für Auto10.png: 
Berechnungszeit KPs: 362
Berechnungszeit Cluster: 1005
Berechnungszeit Distanz: 16940
Gesamt:  18307 ms

Für Auto10_bw.png: 
Berechnungszeit KPs: 334
Berechnungszeit Cluster: 836
Berechnungszeit Distanz: 22027
Gesamt:  23197 ms

Für Auto10_mir.png: 
Berechnungszeit KPs: 345
Berechnungszeit Cluster: 936
Berechnungszeit Distanz: 17620
Gesamt:  18901 ms

Für Auto10_rot.png: 
Berechnungszeit KPs: 330
Berechnungszeit Cluster: 918
Berechnungszeit Distanz: 22321
Gesamt:  23569 ms

Für Bike01.png: 
Berechnungszeit KPs: 135
Berechnungszeit Cluster: 170
Berechnungszeit Distanz: 26829
Gesamt:  27134 ms

Für Bike01_bw.png: 
Berechnungszeit KPs: 137
Berechnungszeit Cluster: 188
Berechnungszeit Distanz: 30660
Gesamt:  30985 ms

Für Bike01_mir.png: 
Berechnungszeit KPs: 132
Berechnungszeit Cluster: 172
Berechnungszeit Distanz: 31150
Gesamt:  31454 ms

Für Bike01_rot.png: 
Berechnungszeit KPs: 129
Berechnungszeit Cluster: 170
Berechnungszeit Distanz: 28010
Gesamt:  28309 ms

Für Bike02.png: 
Berechnungszeit KPs: 209
Berechnungszeit Cluster: 1180
Berechnungszeit Distanz: 17752
Gesamt:  19141 ms

Für Bike02_bw.png: 
Berechnungszeit KPs: 203
Berechnungszeit Cluster: 790
Berechnungszeit Distanz: 13791
Gesamt:  14784 ms

Für Bike02_mir.png: 
Berechnungszeit KPs: 208
Berechnungszeit Cluster: 1056
Berechnungszeit Distanz: 16840
Gesamt:  18104 ms

Für Bike02_rot.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 631
Berechnungszeit Distanz: 3789
Gesamt:  4611 ms

Für Bike03.png: 
Berechnungszeit KPs: 146
Berechnungszeit Cluster: 267
Berechnungszeit Distanz: 5632
Gesamt:  6045 ms

Für Bike03_bw.png: 
Berechnungszeit KPs: 157
Berechnungszeit Cluster: 273
Berechnungszeit Distanz: 5070
Gesamt:  5500 ms

Für Bike03_mir.png: 
Berechnungszeit KPs: 187
Berechnungszeit Cluster: 557
Berechnungszeit Distanz: 4058
Gesamt:  4802 ms

Für Bike03_rot.png: 
Berechnungszeit KPs: 173
Berechnungszeit Cluster: 205
Berechnungszeit Distanz: 982
Gesamt:  1360 ms

Für Bike04.png: 
Berechnungszeit KPs: 329
Berechnungszeit Cluster: 719
Berechnungszeit Distanz: 49811
Gesamt:  50859 ms

Für Bike04_bw.png: 
Berechnungszeit KPs: 289
Berechnungszeit Cluster: 630
Berechnungszeit Distanz: 25216
Gesamt:  26135 ms

Für Bike04_mir.png: 
Berechnungszeit KPs: 421
Berechnungszeit Cluster: 700
Berechnungszeit Distanz: 39944
Gesamt:  41065 ms

Für Bike04_rot.png: 
Berechnungszeit KPs: 248
Berechnungszeit Cluster: 425
Berechnungszeit Distanz: 23884
Gesamt:  24557 ms

Für Bike05.png: 
Berechnungszeit KPs: 247
Berechnungszeit Cluster: 485
Berechnungszeit Distanz: 13776
Gesamt:  14508 ms

Für Bike05_bw.png: 
Berechnungszeit KPs: 256
Berechnungszeit Cluster: 503
Berechnungszeit Distanz: 11362
Gesamt:  12121 ms

Für Bike05_mir.png: 
Berechnungszeit KPs: 244
