Zeitstempel: 2020-09-23T17:56:19.251  ///  Zu vergleichendes Bild: Pferd07
Distanz zwischen Pferd07 und Mensch08_bw => 27317.713721180793
Distanz zwischen Pferd07 und Mensch08_mir => 27421.08159334012
Distanz zwischen Pferd07 und Mensch08_rot => 30630.546251607335
Distanz zwischen Pferd07 und Mensch09 => 8978.402838358617
Distanz zwischen Pferd07 und Mensch09_bw => 8794.978642556642
Distanz zwischen Pferd07 und Mensch09_mir => 9160.013285337276
Distanz zwischen Pferd07 und Mensch09_rot => 15547.807346674545
Distanz zwischen Pferd07 und Mensch10 => 23052.73431576419
Distanz zwischen Pferd07 und Mensch10_bw => 22899.37448214233
Distanz zwischen Pferd07 und Mensch10_mir => 23500.841460718668
Distanz zwischen Pferd07 und Mensch10_rot => 28119.220073741963
Distanz zwischen Pferd07 und Pferd01 => 16359.427392638623
Distanz zwischen Pferd07 und Pferd01_bw => 15883.376370558743
Distanz zwischen Pferd07 und Pferd01_mir => 16281.419952762442
Distanz zwischen Pferd07 und Pferd01_rot => 23851.26957364064
Distanz zwischen Pferd07 und Pferd02 => 6192.062528795238
Distanz zwischen Pferd07 und Pferd02_bw => 5970.806690608307
Distanz zwischen Pferd07 und Pferd02_mir => 6522.4730024934115
Distanz zwischen Pferd07 und Pferd02_rot => 12154.516140502907
Distanz zwischen Pferd07 und Pferd03 => 25361.109451566255
Distanz zwischen Pferd07 und Pferd03_bw => 25128.38866996045
Distanz zwischen Pferd07 und Pferd03_mir => 25398.754602796653
Distanz zwischen Pferd07 und Pferd03_rot => 28870.69422815554
Distanz zwischen Pferd07 und Pferd04 => 23150.793955539913
Distanz zwischen Pferd07 und Pferd04_bw => 22486.337270668733
Distanz zwischen Pferd07 und Pferd04_mir => 23227.540365998655
Distanz zwischen Pferd07 und Pferd04_rot => 26007.595618982785
Distanz zwischen Pferd07 und Pferd05 => 23319.276715950047
Distanz zwischen Pferd07 und Pferd05_bw => 22918.872318520556
Distanz zwischen Pferd07 und Pferd05_mir => 23263.379665323533
Distanz zwischen Pferd07 und Pferd05_rot => 27687.136824549998
Distanz zwischen Pferd07 und Pferd06 => 1880.176825373069
Distanz zwischen Pferd07 und Pferd06_bw => 1447.947129082926
Distanz zwischen Pferd07 und Pferd06_mir => 1278.2297857825008
Distanz zwischen Pferd07 und Pferd06_rot => 9512.504248201067
Distanz zwischen Pferd07 und Pferd07 => 0.0
Distanz zwischen Pferd07 und Pferd07_bw => 796.7558675757602
Distanz zwischen Pferd07 und Pferd07_mir => 108.26904388843016
Distanz zwischen Pferd07 und Pferd07_rot => 15637.968696244374
Distanz zwischen Pferd07 und Pferd08 => 17111.79082144569
Distanz zwischen Pferd07 und Pferd08_bw => 16553.464442799792
Distanz zwischen Pferd07 und Pferd08_mir => 17124.560286186377
Distanz zwischen Pferd07 und Pferd08_rot => 23804.52492186331
Distanz zwischen Pferd07 und Pferd09 => 21431.595742649988
Distanz zwischen Pferd07 und Pferd09_bw => 21230.951646161277
Distanz zwischen Pferd07 und Pferd09_mir => 21625.46502290254
Distanz zwischen Pferd07 und Pferd09_rot => 23610.78659412448
Distanz zwischen Pferd07 und Pferd10 => 18365.25208456131
Distanz zwischen Pferd07 und Pferd10_bw => 18340.2991815335
Distanz zwischen Pferd07 und Pferd10_mir => 18417.13427939419
Distanz zwischen Pferd07 und Pferd10_rot => 21028.786215093165
Distanz zwischen Pferd07 und Rad01 => 54910.10637474221
Distanz zwischen Pferd07 und Rad01_bw => 54823.73999884226
Distanz zwischen Pferd07 und Rad01_mir => 54900.44489150422
Distanz zwischen Pferd07 und Rad01_rot => 44953.51845397594
Distanz zwischen Pferd07 und Rad03 => 37604.28316172575
Distanz zwischen Pferd07 und Rad03_bw => 36837.0203893566
Distanz zwischen Pferd07 und Rad03_mir => 37607.63846821286
Distanz zwischen Pferd07 und Rad03_rot => 29088.86654899779
Distanz zwischen Pferd07 und Rad04 => 34730.27186003467
Distanz zwischen Pferd07 und Rad04_bw => 34505.60727421564
Distanz zwischen Pferd07 und Rad04_mir => 34726.33530690217
Distanz zwischen Pferd07 und Rad04_rot => 26861.778780834426
Distanz zwischen Pferd07 und Rad05 => 45636.02728930808
Distanz zwischen Pferd07 und Rad06 => 63759.12771626269
Distanz zwischen Pferd07 und Rad07 => 41337.58563311519
Distanz zwischen Pferd07 und Rad07_bw => 41103.39856525244
Distanz zwischen Pferd07 und Rad07_mir => 41334.47189496279
Distanz zwischen Pferd07 und Rad07_rot => 34111.08361549952
Distanz zwischen Pferd07 und Rad08 => 46824.65016725984
Distanz zwischen Pferd07 und Rad08_bw => 47455.52010122896
Distanz zwischen Pferd07 und Rad08_mir => 46822.496158957256
Distanz zwischen Pferd07 und Rad08_rot => 39427.56118377449
Distanz zwischen Pferd07 und Rad09 => 43894.11775580828
Distanz zwischen Pferd07 und Rad09_bw => 42930.95557109149
Distanz zwischen Pferd07 und Rad09_mir => 43898.030556322075
Distanz zwischen Pferd07 und Rad09_rot => 36038.150761375524
Distanz zwischen Pferd07 und Rad10 => 1312.2554372351012
Distanz zwischen Pferd07 und Rad10_bw => 2048.7307982846264
Distanz zwischen Pferd07 und Rad10_mir => 1408.341739280892
Distanz zwischen Pferd07 und Rad10_rot => 5711.100818560775
Distanz zwischen Pferd07 und Schaf01 => 8694.158722017388
Distanz zwischen Pferd07 und Schaf01_bw => 8311.563758956403
Distanz zwischen Pferd07 und Schaf01_mir => 8860.955461141906
Distanz zwischen Pferd07 und Schaf01_rot => 644.2492310518712
Distanz zwischen Pferd07 und Schaf02 => 13348.478593589463
Distanz zwischen Pferd07 und Schaf03 => 19457.63645554431
Distanz zwischen Pferd07 und Schaf03_bw => 20167.467113059127
Distanz zwischen Pferd07 und Schaf03_mir => 19497.832895577936
Distanz zwischen Pferd07 und Schaf03_rot => 20995.065511262088
Distanz zwischen Pferd07 und Schaf04 => 22977.204845603876
Distanz zwischen Pferd07 und Schaf04_bw => 23767.59484850167
Distanz zwischen Pferd07 und Schaf04_mir => 22562.254386136654
Distanz zwischen Pferd07 und Schaf04_rot => 23996.08745952128
Distanz zwischen Pferd07 und Schaf06 => 13485.167292900891
Distanz zwischen Pferd07 und Schaf06_bw => 14458.980231863317
Distanz zwischen Pferd07 und Schaf06_mir => 13522.425293704015
Distanz zwischen Pferd07 und Schaf06_rot => 14789.451912634666
